2018-02-08T19:37:44.343Z	1	844	[0,25,46,1398,1067,566,2715,112,32,367,90,2367,56,1209,127,2202,1632,766,500,2624,2754,1243,285,2869,2411,2404,2377,1486,264,1724,1680,2898,2734,1297,2736,990,877,2511,2804]
2018-02-08T04:00:58.346Z	1	501	[12,1518,655,5,112,1950,2215,524,6,635,288,577,2549,2642,2416,1239,321,1295,279,2433,2798,1375,1235,2944,2194,209,1477,1195,1219,1290,231,1145,2275,2802,346,1308,866,2644,1487,1991,1247,293,2407,1432,1843]
2018-02-08T19:38:53.689Z	2	635	[69,366,93,223,785,444,21,783,149,530,414,122,363,258,833,384,502,121,912,297,828,733,740]
2018-02-08T03:59:34.780Z	0	582	[1398,5,783,151,2700,63,2832,2424,35,401,926,2917,1333,2027,2941,608,575,2730,1358,99,1278,908,1405,1060,2493,2532,2226,2151,972,254,1715,178,1605,2965,1873,2044,2658,707,2726,2979,2461,327,179,2827,2676,2232,512,2274,1489]
2018-02-08T19:58:10.030Z	2	272	[608,631,785,256,862,557,241,921,893,542,379,515,43,803,906,559,236,400,205,756,121,454,227,753,970,382,104,939,427,643,582,723]
2018-02-08T19:58:41.884Z	2	841	[913,36,852,299,893,251,4,48,760,860,384,68,835,204,961,540,797,671,996,171,318,613,883,118,452]
2018-02-08T20:00:34.910Z	2	301	[628,630,596,577,292,363,294,226,767,831,533,655,106,987,581,640,236,174,545,781,29,850,436,169,823,582,302,193]
2018-02-08T04:01:51.864Z	2	30	[871,3,9,377,18,25,11,7,258,22,295,590,1,144,420,363,244,627,557,547,973,429,30,836,780,273,396]
2018-02-08T20:00:37.678Z	1	889	[4,12,1000,112,907,1325,2862,11,251,90,821,2367,1893,2935,1660,2209,2917,370,807,1419,429,649,2866,1482,1270,677,44,1224,623,939,2288,746,2971,2982,1696,171,2879,966,2184,425,2736,2902,1693,922,2829,1311,1275]
2018-02-08T04:02:51.233Z	1	492	[0,1008,7,952,821,2504,1004,2620,833,1560,1908,2284,509,2896,590,631,1419,93,223,525,920,2114,1960,174,41,2745,592,264,1890,970,415,493,2166,2931,2923,1820,1010,1312,1230,2736,2129,1306]
2018-02-08T04:01:24.865Z	2	844	[243,461,499,24,736,923,25,960,389,524,98,63,576,542,402,953,623,878,43,771,577,466,598,34,346,390,411,847,103,184,829,982,980]
2018-02-08T20:01:54.029Z	0	766	[1497,1887,1180,35,95,1118,1637,1533,640,871,2086,321,983,2807,978,2765,1482,1692,383,2845,668,1724,2472,2208,2060,867,2452,874,2226,659,1559,2466,2031,2173,128,2323,2844,2739,817,2987,488,564,1448,2419,1312,834,2149,394,839]
2018-02-08T19:58:42.345Z	1	422	[4,1008,12,18,46,91,1398,165,566,655,112,324,533,1288,10,635,49,2980,2832,2764,2016,402,2799,2479,2570,2880,1766,2920,2498,738,2004,1599,2436,761,2393,2773,2248,1701,2572,2698,1681,975,1312,2427,1271]
2018-02-08T19:59:48.202Z	1	497	[0,25,1008,58,1398,165,2762,1832,2215,952,3,414,560,635,742,2019,1351,766,571,1496,2361,471,1093,2540,299,72,143,2860,2800,2909,2628,2275,82,2078,211,2107,2088,2856,1746,2398,2094,743,915,2079,2067,262,2495,1183,2915]
2018-02-08T19:38:55.569Z	0	587	[1028,251,283,288,2256,550,1668,2917,2836,2576,2857,2689,2358,1387,630,1427,1946,2723,1145,1060,203,2193,737,1972,2295,1676,343,998,2508,858,160,2589,1839,572,2548,796,1222,1892,2908,2145,309,2333,2633,1936,2694,2552,2994,1942,1039,1363]
2018-02-08T19:57:02.487Z	1	572	[0,46,1440,1851,406,2762,1313,2728,348,6,1362,1233,150,2328,815,550,1291,1997,557,1940,2788,449,631,1504,1227,1462,1152,548,777,2704,211,398,1808,804,2214,2652,2453,1014,162,2965,2592,762,564,1895,1854,663,1141]
2018-02-08T04:03:21.788Z	0	969	[90,151,903,1144,119,918,1631,835,581,359,223,149,2869,224,568,1836,1815,869,2237,750,244,2305,1690,2690,677,722,1767,465,734,2196,2960,995,611,1014,409,2991,1377,506,2074,1854,2767,1941,1959,2552,1182,2450,2162,1304,1275,2373]
2018-02-08T20:00:39.573Z	1	260	[0,4,25,135,46,1398,255,389,1313,11,952,565,56,2104,1978,122,451,987,1659,628,229,2168,252,1947,1352,1002,2869,1512,97,2581,459,2035,244,2009,326,405,291,2144,1580,2900,2708,2908,2089,2531,2607,1505]
2018-02-08T19:59:14.552Z	2	38	[381,33,144,134,851,492,907,76,258,283,13,113,63,718,949,59,218,475,677,109,465,894,173,693,669,774,103]
2018-02-08T20:02:18.099Z	0	405	[25,138,687,2601,1305,2763,1642,2799,1809,2930,225,1437,2853,2188,2846,1768,638,2379,2140,473,1154,1994,546,289,1817,1417,198,553,2650,501,1640,753,2081,570,954,2940,1899,374,208,2485,2438,1138,1191,2058,2552,2551,2994,1057,483,2883]
2018-02-08T04:03:21.584Z	1	618	[4,25,18,46,1067,1518,566,21,74,77,445,1289,821,6,238,2434,711,122,37,1660,212,1840,1043,1637,102,144,1884,925,236,1307,950,1669,1856,2914,1542,1502,2259,1310,764,866,407,64,2210]
2018-02-08T20:00:35.690Z	1	521	[0,135,91,1000,165,566,1851,406,2975,893,445,11,952,2230,2627,1,9,711,1560,1084,2764,1280,1092,2429,591,499,471,1652,756,606,190,1924,50,1953,2740,2566,2701,1790,2206,394,922,1530,2153]
2018-02-08T20:00:36.926Z	1	571	[4,18,1067,393,1851,2084,1176,821,210,1,310,1503,154,37,2601,69,1413,95,526,1223,2608,601,370,2659,608,1999,1177,568,2185,1675,1766,1434,1259,1033,1178,534,2842,1673,403,2053,2622,2490,2902]
2018-02-08T20:04:16.493Z	0	436	[1167,2230,2980,1547,641,864,2143,137,2545,1374,1702,2111,1338,567,456,355,1060,838,2926,50,1224,2616,274,695,2472,52,2138,2272,259,123,858,2052,347,1735,1564,811,979,514,666,2712,1872,2161,1891,2430,856,797,702,1097,1189,2511]
2018-02-08T19:59:48.424Z	0	239	[18,832,1628,2985,771,1838,2032,2869,1679,182,1777,787,548,2098,2321,1151,1639,2455,2587,423,1394,1556,2634,2637,1446,735,1904,2573,1715,712,828,772,1634,2080,287,1935,1447,2952,1991,1297,2329,2349,2110,797,936,1505,1938,2470,2682,782]
2018-02-08T19:59:14.775Z	0	787	[588,821,711,37,1378,1065,2168,217,884,2640,589,2174,1152,2487,209,88,2822,275,1922,1323,1015,2733,1458,172,1201,2270,413,967,2493,2465,59,52,1113,1833,2777,927,2329,1532,1016,1237,2075,1753,1080,2744,2895,718,602,1257,219]
2018-02-08T20:00:38.865Z	0	926	[258,1655,17,2985,102,2403,130,2630,2194,2098,1267,2772,244,2000,351,820,2817,2842,2724,2684,465,291,604,611,2312,505,998,2272,477,2942,2213,2052,1094,1735,609,2923,621,1348,1583,386,834,247,1731,2445,1204,792,2334,2278,2583,597]
